,Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
9561,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR2_TAG",1x1,0,0.0
1464,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_970x250_EOA_CP",300x250,0,0.0
9565,20230423,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_INR2_CP",320x50,0,0.0
9578,20230423,Web,playerswiki.com,/103512698/22868978639,630x90,0,0.0
9618,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_EOA_CP",336x280,0,0.0
9619,20230423,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR2_RP",336x280,4,0.05
9620,20230423,Web,deccanherald.com,1013527/ATD_dch/ATD_300x250_S2,300x250,218,0.04
9621,20230423,Web,deccanherald.com,1013527/ATD_dch/ATD_300x600_GENERAL,300x600,829,0.52
9622,20230423,Web,kookmutsjes.com,"21804848220,21908065997/ATD_Kook/ATD_300x250_INR1_SS_m",300x250,40,0.03
9623,20230423,Web,thenewsminute.com,28110228/ATD_newsm/ATD_300x250_D_AP_AD2,300x250,555,0.2
1449,20230423,Web,glamourfame.com,"21804848220,21814143669/ATD_Glamourfame/ATD_320x100_Footer",320x50,49,0.1
1448,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_970x250_MH_TAG",970x250,0,0.0
1445,20230423,Web,glamourpath.com,"21804848220,22445109981/ATD_Glamourpath/ATD_300x600_side",300x250,2,0.0
9639,20230423,Web,avsim.com,"21804848220,22589072596/ATD_avsim/ATD_300x50_AXT",300x50,259,0.12
9640,20230423,Web,kookmutsjes.com,"21804848220,21908065997/ATD_Kook/ATD_300x250_INR1_AP_M",336x280,76,0.07
9641,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR3_TAG",336x280,0,0.0
9646,20230423,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR2_TAG",160x600,0,0.0
9647,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x600_AXT",300x600,1,0.02
9648,20230423,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x600_BMP_M_HP",320x50,0,0.0
9557,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_INR1_COMBO_RP",300x250,0,0.0
9543,20230423,Web,mapsofworld.com,1152375/MOW-300,300x250,1,0.0
1547,20230423,Web,glamourfame.com,"21804848220,21814143669/ATD_Glamourfame/ATD_160x600_AXT",160x600,50,0.1
10014,20230423,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_970x250_MH_WP",970x250,107,0.62
1546,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR2_HP",336x280,0,0.0
1516,20230423,Web,kookmutsjes.com,"21804848220,21908065997/ATD_Kook/ATD_300x250_INR1_AP_M",300x250,28,0.05
