,Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
5042,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_970x250_EOA_RP",300x250,30,0.36
5044,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_INR6_JP",1x1,0,0.0
5046,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR3_RP",320x100,0,0.0
5047,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_INR1_WP",300x50,2,0.0
5068,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_INR2_HP",1x1,0,0.0
5085,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR3_CP",320x50,0,0.0
5086,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_EOA_CP",300x250,0,0.0
5109,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_970x250_MH_TAG",970x90,0,0.0
5111,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_EOA_HP",320x100,0,0.0
5115,20230429,Web,mybaseguide.com,9345627/ATD_Mybaseguide/ATD_728x90_EOA_GENERAL,728x90,0,0.0
5133,20230429,AMP,thehindu.com,/22390678/Hindu_AMP_Middle02,336x280,0,0.0
5134,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR2_RP",160x600,100,0.61
5135,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_160x600_LHS_RP",160x600,583,2.98
5136,20230429,AMP,thenewsminute.com,/28110228/AMP_TheNewsminute/ATD_320x50_Ftr_sticky_AMP,320x100,2538,0.48
5137,20230429,Web,glamourpath.com,"21804848220,22445109981/ATD_Glamourpath/ATD_300x250_INR_AP_M",300x250,279,0.77
5141,20230429,AMP,divyabhaskar.co.in,/28928716/Divyabhaskar/AMP/M.DIVB_AMP_AL_BTF1_300x250,300x100,272,0.01
5142,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR5_JP",728x90,0,0.0
5160,20230429,Web,recipesdirect.com,unknown,other,0,0.0
5163,20230429,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x600_BMP_M_HP",320x100,0,0.0
5172,20230429,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x600_RHS_WP",160x600,73,0.13
5173,20230429,Web,playerswiki.com,"21804848220,21667394145/ATD_Playerswiki/ATD_970x250_Top_AP",970x250,3,0.0
5190,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR2_TAG",300x600,1,0.02
5206,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR1_HP",1x1,0,0.0
5217,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_EOA_HP",320x50,0,0.0
5231,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_970x250_MH_HP",970x250,1,0.01
5235,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_160x600_RHS_CP",160x600,5,0.03
5238,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_EOA_CP",1x1,0,0.0
5245,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR1_HP",1x1,0,0.0
5253,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_EOA_TAG",120x600,0,0.0
5271,20230429,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x600_M_EOA_CP",300x50,0,0.0
5273,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_970x250_EOA_TAG",1x1,0,0.0
5287,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR7_CP",336x280,0,0.0
5293,20230429,Web,mapsofworld.com,1152375/MOW-Travel-728-1,728x90,0,0.0
5305,20230429,AMP,mapsofworld.com,/1152375/ATD_MOW_AMP/ATD_320x100_AMP_FOOTER,300x100,166,0.04
5306,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_970x250_INR3_RP",970x250,31,0.31
5307,20230429,AMP,thenewsminute.com,/28110228/AMP_TheNewsminute/ATD_300x250_BTF2_AMP,336x280,928,0.14
5308,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_EOA_RP",300x600,185,2.13
5309,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_336x280_AXT",336x280,8,0.03
5321,20230429,AMP,divyabhaskar.co.in,/28928716/Divyabhaskar/AMP/M.DIVB_AMP_BTF3_300x250,336x280,42,0.0
5322,20230429,Web,kookmutsjes.com,"21804848220,21908065997/ATD_Kook/ATD_300x250_INR2_HP_D",300x250,1,0.0
5323,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_RHS_WP",300x250,77,0.16
5324,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_MH_JP",300x250,98,0.4
5342,20230429,Web,mapsofworld.com,1152375/ATD_MOW/ATD_300x250_sidebar1,300x250,25,0.03
5348,20230429,Web,becauseofthemwecan.com,22789242389/ATD_becauseofthemwecan.com/ATD_728x90_AXT,728x90,0,0.0
5350,20230429,Web,becauseofthemwecan.com,22789242389/ATD_becauseofthemwecan.com/728x90_All,728x90,0,0.0
5385,20230429,Web,playerswiki.com,"21804848220,21667394145/ATD_Playerswiki/ATD_300x250_HP",300x250,1,0.0
5400,20230429,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x600_M_INR1_HP",300x50,0,0.0
5404,20230429,Web,mapsofindia.com,/5535731/ATD_MOI/ATD_1x1_GENERAL,1x1,0,0.0
5421,20230429,Web,marriedceleb.com,"21804848220,21882441394/ATD_marriedceleb/ATD_970x250_AXT",970x250,0,0.0
5425,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_320x100_AXT",320x100,0,0.0
5427,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_160x600_RHS_CP",160x600,2,0.0
5432,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_970x250_MH_TAG",970x90,0,0.0
5440,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR2_TAG",320x50,0,0.0
