"Day","Property","Player Id","Player Name","Ad Impressions","Connatix Demand Revenue","Ad Wins"
"10-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1,0.00,1
"10-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",31,0.05,31
"10-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",3238,4.81,3238
"10-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2615,5.16,2615
"10-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",2025,5.33,2025
"11-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",0,0.00,0
"11-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",29,0.05,29
"11-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",3107,5.34,3107
"11-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2264,5.10,2264
"11-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1487,5.00,1487
"12-DEC-2023","heartlandcooking.com","0498a749-5ce1-4fe2-b909-7bd76734d093","HLC - Article Recommendation - No float",1,0.00,1
"12-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1,0.00,1
"12-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",85,0.18,85
"12-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2294,4.06,2294
"12-DEC-2023","telugu-filmibeat-com.translate.goog","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",0,0.00,0
"12-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1703,3.95,1703
"12-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1596,5.15,1596
"13-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2,0.00,2
"13-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",102,0.13,102
"13-DEC-2023","malayalam-filmibeat-com.translate.goog","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",0,0.00,0
"13-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2141,3.29,2141
"13-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",3118,5.07,3118
"13-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",2129,6.81,2129
"14-DEC-2023","cookingprofessionally.com","2618c795-6de1-4144-984c-05ff385dd7d4","CP - Article Recommendation",0,0.00,0
"14-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1,0.00,1
"14-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",95,0.10,95
"14-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2816,4.53,2816
"14-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2560,5.17,2560
"14-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",2052,6.12,2052
"15-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",9,0.02,9
"15-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",21,0.03,21
"15-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",6604,7.00,6604
"15-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1880,3.88,1880
"15-DEC-2023","texashillcountry-com.translate.goog","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",0,0.00,0
"15-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1606,5.11,1606
"16-DEC-2023","espanol.mapsofworld.com","f40d6d78-9340-4b95-b0a3-b5590881c86c","MOW (Desktop+Mobile) in-feed",0,0.00,0
"16-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1,0.00,1
"16-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",16,0.03,16
"16-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",5605,6.41,5605
"16-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",3064,4.16,3064
"16-DEC-2023","texashillcountry-com.translate.goog","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",0,0.00,0
"16-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",2384,6.04,2384
