day;App/Site Domain Name;Gross Revenue;impressions;Estimated Net Revenue
2023-12-11T00:00:00;mamascooking.com;3.253975;721;2.603180
2023-12-11T00:00:00;commandcooking.com;2.645071;575;2.116057
2023-12-11T00:00:00;www.thenewsminute.com;0.386567;513;0.309254
2023-12-03T00:00:00;recipesdirect.com;2.400385;535;1.920308
2023-12-03T00:00:00;www.timeshighereducation.com;1.607767;1618;1.286214
2023-12-15T00:00:00;taxguru.in;0.077846;135;0.062277
2023-12-15T00:00:00;theprint.in;2.712013;5528;2.169610
2023-12-15T00:00:00;www.mirchi9.com;0.013897;16;0.011118
2023-12-15T00:00:00;www.westernjournal.com;0.839557;494;0.671646
2023-12-04T00:00:00;texashillcountry.com;0.454642;192;0.363714
2023-12-16T00:00:00;www.binged.com;1.679578;2220;1.343662
2023-12-16T00:00:00;glamourfame.com;0.081713;64;0.065370
2023-12-16T00:00:00;www.flickchart.com;0.979393;1478;0.783514
2023-12-08T00:00:00;popctrivia.com;0.003809;2;0.003047
2023-12-20T00:00:00;www.stilt.com;0.508709;207;0.406967
2023-12-20T00:00:00;nowtoronto.com;0.053250;69;0.042600
2023-12-20T00:00:00;www.shmoop.com;0.033581;28;0.026865
2023-12-20T00:00:00;www.bhaskar.com;0.000455;6;0.000364
2023-12-20T00:00:00;www.rmweb.co.uk;0.000898;5;0.000718
2023-12-20T00:00:00;www.standartnews.com;0.260583;233;0.208466
2023-12-20T00:00:00;www.britishmalayali.co.uk;0.027097;67;0.021678
2023-12-12T00:00:00;cookingprofessionally.com;1.519190;251;1.215352
2023-12-05T00:00:00;ijr.com;0.078975;74;0.063180
2023-12-05T00:00:00;www.britishmalayali.co.uk;0.250968;1389;0.200774
2023-12-17T00:00:00;www.m9.news;1.323591;1359;1.058873
2023-12-17T00:00:00;calcsimple.com;0.243798;97;0.195038
2023-12-17T00:00:00;use.shmoop.com;0.002458;3;0.001966
2023-12-17T00:00:00;funnyeditor.com;0.537094;112;0.429675
2023-12-09T00:00:00;news.php;0.000078;1;0.000062
2023-12-09T00:00:00;www.mirchi9.com;0.000636;3;0.000509
2023-12-01T00:00:00;kookmutsjes.com;2.060151;2221;1.648121
2023-12-01T00:00:00;recipereader.com;2.633655;317;2.106924
2023-12-01T00:00:00;www.golaurens.com;0.994049;793;0.795239
2023-12-01T00:00:00;epaper.freepressjournal.in;0.009392;15;0.007514
2023-12-13T00:00:00;www.m9.news;0.788615;639;0.630892
2023-12-13T00:00:00;www.homernews.com;0.005828;8;0.004662
2023-12-13T00:00:00;commandcooking.com;3.304021;834;2.643217
2023-12-13T00:00:00;www.standartnews.com;1.192495;729;0.953996
2023-12-13T00:00:00;www.marunadanmalayalee.com;0.664884;1541;0.531907
2023-12-06T00:00:00;wordthirst.com;0.864283;471;0.691426
2023-12-06T00:00:00;www.casebriefs.com;0.013966;3;0.011173
2023-12-18T00:00:00;easiereats.com;0.107929;31;0.086343
2023-12-18T00:00:00;dev.kookmutsjes.com;0.000255;1;0.000204
2023-12-18T00:00:00;www.timeshighereducation.com;1.583057;1599;1.266446
2023-12-10T00:00:00;www.stilt.com;1.224598;673;0.979678
2023-12-10T00:00:00;heartlandcooking.com;3.612526;1064;2.890021
2023-12-10T00:00:00;www.thenewsminute.com;0.199616;342;0.159693
2023-12-10T00:00:00;www.britishmalayali.co.uk;0.376483;2420;0.301186
2023-12-02T00:00:00;lazycooking.com;1.797102;303;1.437682
